# Compact pinyin → hanzi. Generated from mozillazg/pinyin-data (MIT).
a	吖呵啊嗄腌錒锕阿
shan	傓僐僤儃儋删刪剡剼单善單
shang	上丄伤傷商垧埫場塲墒尙尚
shao	佋削劭勺卲召哨娋少弰招捎
she	佘厍厙奓奢射弽慑慴懾折抴
shei	誰谁
shen	什伸侁侺信兟参參吲呻哂嘇
sheng	生丞乘偗冼剩剰勝升呏圣垩
shi	是时事实什世丗乨乭亊仕似
shou	兽収受售嘼垨壽夀守寿手扌
shu	书侸俆俞俶倏倐儵兪叔咰售
shua	刷唆唰涮耍誜選
shuai	卛帅帥摔率甩綏縗蟀衰
shuan	專拴栓槫汕涮腨踹閂闩
shuang	傱双塽孀孇慡樉欆泷淙漴漺
shui	说娷帨捝水氵氺涗涚睡祱稅
shun	俊吮巛巡恂楯橓盾眴瞚瞤瞬
shuo	说勺哾嗍嗽妁揱搠数數朔杓
si	以已丝亖伺似佀佁価俟俬偲
song	倯傱凇吅娀宋崧嵩嵷庺忪怂
sou	傁凁叜叟嗖嗽嗾廀廋捒捜搜
su	俗傃僁僳卹嗉嗖囌圱埣塐塑
suan	匴撰狻痠祘笇筭算篹蒜選酸
sui	亗倠哸嗺埣夊娞嬘尿岁嵗彗
sun	喰孙孫扻损損搎摌栒榫槂潠
suo	所些乺傞唆唢嗍嗦嗩娑嫅惢
ta	他她太侤傝呾咜哈嗒嚃嚺塌
tai	大能太儓冭台呔咍囼坮夳奤
tan	但倓傝僋儃叹啴單嗿嘆嘽嘾
tang	伖倘偒傏傥儻劏唐啺嘡坣埫
tao	匋叨咷啕夲夵套姚嫍幍弢慆
te	匿式忑忒慝特犆職脦螣蟘貣
tei	忒
teng	僜儯幐滕漛熥疼痋籐籘縢腾
ti	是体俶倜偍剃剔厗啑啼嗁嚏
tian	天佃倎兲典吞唺嗔塡填奵娗
tiao	佻儵咷啁姚嬥宨岧岹庣恌挑
tie	僣占呫帖怗怙惵聑萜蛈蝶詀
ting	亭侱侹停厅厛听圢奠娗婷嵉
tong	同仝佟侗偅僮勭哃嗵囲垌峂
tou	头亠偷偸埱妵婾媮愉投敨斢
tu	余兎兔凃凸吐唋啚図图圕圖
tuan	剬剸团団團塼墥嫥專彖慱抟
tui	侻俀僓啍墤娧尵弚弟忒怢推
tun	吞吨吴呑啍噋囤坉屯庉忳憞
